chron_order,bs_month,bs_year,ad_year,district_pop_mid_year_cbs,new_cases_total,new_cases_female,new_cases_male,relapse_female,relapse_male,total_tb_female,total_tb_male,pbc_reg,cured,failed,died,ltfu,not_eval,tb_hiv_positive,0_to_4_f,0_to_4_m,5_to_14_f,5_to_14_m,15_to_24_f,15_to_24_m,25_to_34_f,25_to_34_m,35_to_44_f,35_to_44_m,45_to_54_f,45_to_54_m,55_to_64_f,55_to_64_m,65_f,65_m,relapse_total,total_tb_mf
1,Baishak,2078,2021,2049618,273,0,0,0,0,0,0,60,50,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jestha,2078,2021,2049618,176,0,0,0,0,0,0,62,59,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Asar,2078,2021,2049618,281,0,0,0,0,0,0,87,70,1,2,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrawan,2078,2021,2049618,389,143,246,4,9,147,255,109,83,1,5,2,8,1,1,0,2,22,49,101,32,37,18,30,20,26,14,15,7,15,13,402
5,Bhadra,2078,2021,2049618,295,144,151,2,6,146,157,80,57,3,1,1,10,4,1,0,8,6,41,43,44,27,23,26,11,15,10,13,6,21,8,303
6,Ashwin,2078,2021,2049618,206,117,89,6,1,123,90,67,47,1,1,4,4,0,0,3,7,4,32,26,31,16,15,18,14,6,7,6,11,10,7,213
7,Kartik,2078,2021,2049618,230,109,121,4,8,113,129,76,62,0,4,0,3,3,0,2,3,5,26,23,36,36,12,18,16,10,6,8,10,19,12,242
8,Mangsir,2078,2021,2049618,229,102,127,2,7,104,134,74,59,1,1,2,2,3,1,1,4,1,32,28,25,26,12,20,12,16,8,21,8,14,9,238
9,Poush,2078,2021,2049618,267,118,149,8,12,126,161,87,72,3,2,0,4,1,1,3,7,6,28,38,23,35,19,20,13,11,14,12,13,24,20,287
10,Magh,2078,2022,2049618,202,89,113,6,6,95,119,99,80,1,3,2,1,2,0,1,5,2,27,24,24,28,15,27,9,13,4,9,5,9,12,214
11,Falgun,2078,2022,2049618,272,123,149,7,9,130,158,121,106,0,2,1,2,2,1,5,8,9,35,34,31,29,19,25,8,17,7,14,14,16,16,288
12,Chaitra,2078,2022,2049618,349,180,169,5,8,185,177,116,95,0,4,3,7,3,2,0,13,2,70,48,34,43,25,21,19,19,9,17,8,19,13,362
13,Baishak,2079,2022,2087199,317,149,168,5,9,154,177,101,76,2,3,5,2,2,1,0,8,11,48,52,35,35,20,23,13,17,10,9,14,21,14,331
14,Jestha,2079,2022,2087199,354,170,184,7,13,177,197,64,54,0,1,1,2,2,1,4,6,7,42,52,45,36,26,29,16,14,14,19,20,23,20,374
15,Asar,2079,2022,2087199,336,166,170,5,5,171,175,117,93,0,2,1,9,4,4,2,7,10,60,42,35,42,20,24,18,22,7,10,15,18,10,346
16,Shrawan,2079,2022,2087199,325,156,169,4,6,160,175,122,103,1,1,2,10,2,6,4,15,11,48,42,38,34,19,27,10,12,12,15,8,24,10,335
17,Bhadra,2079,2022,2087199,306,130,176,3,6,133,182,132,109,0,3,2,9,2,0,3,9,14,42,33,25,31,19,30,10,25,11,15,14,25,9,315
18,Ashwin,2079,2022,2087199,215,102,113,5,12,107,125,85,67,1,1,4,7,0,2,1,4,4,28,26,24,22,10,19,11,8,8,17,15,16,17,232
19,Kartik,2079,2022,2087199,285,119,166,5,10,124,176,88,74,1,1,2,8,3,1,3,9,11,39,39,19,35,19,20,11,24,7,16,14,18,15,300
20,Mangsir,2079,2022,2087199,248,110,138,6,8,116,146,86,65,0,3,3,12,2,0,3,4,7,25,30,28,28,16,23,16,17,10,8,11,22,14,262
21,Poush,2079,2022,2087199,266,120,146,4,3,124,149,113,90,1,3,7,7,2,1,3,7,9,32,36,25,37,14,17,10,14,10,16,21,14,7,273
22,Magh,2079,2023,2087199,245,88,157,4,10,92,167,93,78,1,2,0,9,7,0,3,6,4,26,41,22,31,13,24,4,13,5,16,12,25,14,259
23,Falgun,2079,2023,2087199,309,130,179,5,12,135,191,116,94,1,3,5,7,2,4,3,17,9,48,46,22,30,10,28,8,17,11,17,10,29,17,326
24,Chaitra,2079,2023,2087199,325,149,176,7,15,156,191,158,133,0,3,1,16,5,4,2,7,10,39,45,33,36,15,31,19,23,19,13,13,16,22,347
25,Baishak,2080,2023,2122517,314,143,171,6,13,149,184,119,109,0,2,1,4,1,2,4,17,24,42,34,21,28,22,28,12,25,7,18,20,10,19,333
26,Jestha,2080,2023,2122517,401,182,219,11,18,193,237,153,127,1,2,3,13,6,2,1,15,19,55,52,28,45,28,35,11,24,20,23,23,20,29,430
27,Asar,2080,2023,2122517,313,142,171,4,8,146,179,126,115,0,3,3,4,1,3,7,8,9,45,40,28,33,18,18,10,18,14,23,16,23,12,325
28,Shrawan,2080,2023,2122517,377,171,206,8,16,179,222,141,122,1,5,1,6,1,1,0,20,13,48,63,34,37,24,21,14,24,13,26,17,22,24,401
29,Bhadra,2080,2023,2122517,296,134,162,12,8,146,170,125,110,0,4,4,6,1,1,1,6,8,45,40,28,33,22,15,11,18,8,20,13,27,20,316
30,Ashwin,2080,2023,2122517,256,128,128,2,14,130,142,92,81,0,1,0,5,1,1,1,3,5,33,32,28,15,28,14,16,25,11,14,8,22,16,272
31,Kartik,2080,2023,2122517,163,78,85,8,7,86,92,123,106,1,4,5,5,1,0,1,2,4,23,14,18,17,16,11,6,17,6,7,7,14,15,178
32,Mangsir,2080,2023,2122517,250,100,150,7,11,107,161,130,114,2,3,2,7,0,0,0,7,8,31,37,19,29,17,20,8,20,6,15,12,21,18,268
33,Poush,2080,2023,2122517,286,130,156,8,10,138,166,124,106,2,0,3,8,2,4,2,12,8,34,36,35,33,16,22,14,19,7,13,8,23,18,304
34,Magh,2080,2024,2122517,285,118,167,6,15,124,182,114,93,2,6,2,7,2,3,2,15,10,28,32,27,32,14,29,9,21,7,16,15,25,21,306
35,Falgun,2080,2024,2122517,316,146,170,6,12,152,182,157,139,1,1,1,9,2,2,2,8,8,45,40,36,32,15,24,13,16,11,27,16,21,18,334
36,Chaitra,2080,2024,2122517,374,170,204,14,15,184,219,131,115,2,2,0,5,3,0,5,10,19,53,44,37,40,32,25,14,23,10,17,14,31,29,403
37,Baishak,2081,2024,2156070,354,167,187,6,12,173,199,143,119,0,3,5,9,3,3,5,12,11,46,42,35,42,19,26,21,18,10,21,21,22,18,372
38,Jestha,2081,2024,2156070,380,183,197,7,16,190,213,161,137,1,5,6,8,5,3,0,11,10,53,52,36,45,24,25,23,15,18,19,15,31,23,403
39,Asar,2081,2024,2156070,293,144,149,6,16,150,165,135,119,1,2,1,2,11,4,2,10,13,43,35,26,28,25,23,12,12,9,19,15,17,22,315
40,Shrawan,2081,2024,2156070,416,204,212,9,13,213,225,149,130,2,3,2,2,5,6,1,12,10,49,62,48,43,32,27,18,11,20,24,19,34,22,438
41,Bhadra,2081,2024,2156070,303,139,164,10,7,149,171,125,104,2,2,2,1,3,1,0,5,8,35,33,40,37,18,18,7,21,16,20,17,27,17,320
42,Ashwin,2081,2024,2156070,205,93,112,4,11,97,123,108,96,1,4,1,6,2,0,0,5,6,19,34,25,21,15,13,8,16,8,6,13,16,15,220
43,Kartik,2081,2024,2156070,225,89,136,4,9,93,145,74,56,1,1,1,1,2,1,4,8,3,21,26,18,27,13,24,9,19,6,9,13,24,13,238
44,Mangsir,2081,2024,2156070,282,133,149,5,15,138,164,109,97,2,2,3,0,1,1,1,6,5,38,38,17,31,17,14,17,19,14,14,23,27,20,302
45,Poush,2081,2024,2156070,257,108,149,5,19,113,168,144,123,0,1,5,1,2,1,1,9,12,35,34,23,44,17,20,9,16,5,6,9,16,24,281
46,Magh,2081,2025,2156070,283,118,165,6,10,124,175,132,116,0,2,4,5,3,2,3,6,8,27,40,27,24,15,31,13,13,15,21,13,25,16,299
47,Falgun,2081,2025,2156070,277,122,155,10,20,132,175,135,111,2,1,2,2,3,1,12,8,12,39,35,22,26,20,17,7,19,10,14,15,20,30,307
48,Chaitra,2081,2025,2156070,343,168,175,7,19,175,194,160,145,0,0,2,2,1,1,4,8,10,46,44,42,42,20,26,17,13,16,16,18,20,26,369
49,Baishak,2082,2025,2188035,322,147,175,7,13,154,188,151,141,1,0,2,0,4,2,3,8,17,36,44,31,35,15,19,13,18,17,19,25,20,20,342
50,Jestha,2082,2025,2188035,350,184,166,10,10,194,176,167,142,0,5,3,3,8,3,2,9,10,43,31,45,35,24,28,14,15,21,16,25,29,20,370
51,Asar,2082,2025,2188035,371,181,190,11,15,192,205,109,91,1,5,2,0,3,2,8,6,9,48,52,43,27,26,23,20,21,19,23,17,27,26,397
52,Shrawan,2082,2025,2188035,340,152,188,8,9,160,197,171,126,0,5,2,2,4,2,5,9,5,42,51,29,38,25,31,15,20,16,13,14,25,17,357
53,Bhadra,2082,2025,2188035,296,140,156,8,9,148,165,129,105,0,3,1,1,7,0,3,2,12,45,46,33,26,16,23,17,11,11,10,16,25,17,313
54,Ashwin,2082,2025,2188035,236,100,136,7,8,107,144,83,76,0,2,1,0,2,3,2,3,8,29,40,20,19,10,20,9,17,7,11,19,19,15,251
55,Kartik,2082,2025,2188035,204,94,110,12,16,106,126,88,74,0,3,1,1,1,1,2,6,8,26,22,16,14,12,11,7,16,12,15,14,22,28,232
56,Mangsir,2082,2025,2188035,200,108,92,4,19,112,111,118,100,1,4,1,0,3,2,2,11,4,25,19,28,23,7,9,11,6,8,14,16,15,23,223
57,Poush,2082,2025,2188035,256,110,146,5,10,115,156,120,101,1,4,1,1,3,1,4,3,4,29,27,28,33,11,21,13,16,14,18,11,23,15,271
58,Magh,2082,2026,2188035,253,119,134,9,4,128,138,128,100,2,5,4,1,3,0,1,7,3,30,33,26,24,17,17,9,20,9,12,21,24,13,266
59,Falgun,2082,2026,2188035,223,111,112,7,17,118,129,139,113,1,2,2,1,6,0,1,6,4,28,22,15,22,24,13,14,14,12,17,12,19,24,247
60,Chaitra,2082,2026,2188035,263,130,133,3,11,133,144,148,125,0,4,1,3,2,1,0,3,3,35,38,30,26,16,18,16,14,14,17,15,17,14,277
