BS Year,BS Month,Gregorian Start,Gregorian End,Fiscal Year
2078,Shrawan 2078,2021-07-16,2021-08-15,2078/79
2078,Bhadra 2078,2021-08-16,2021-09-15,2078/79
2078,Ashwin 2078,2021-09-16,2021-10-15,2078/79
2078,Kartik 2078,2021-10-16,2021-11-15,2078/79
2078,Mangsir 2078,2021-11-16,2021-12-15,2078/79
2078,Poush 2078,2021-12-16,2022-01-15,2078/79
2078,Magh 2078,2022-01-16,2022-02-15,2078/79
2078,Falgun 2078,2022-02-16,2022-03-15,2078/79
2078,Chaitra 2078,2022-03-16,2022-04-15,2078/79
2078,Baishak 2078,2021-04-16,2021-05-15,2077/78
2078,Jestha 2078,2021-05-16,2021-06-15,2077/78
2078,Asar 2078,2021-06-16,2021-07-15,2077/78
2079,Shrawan 2079,2022-07-16,2022-08-15,2079/80
2079,Bhadra 2079,2022-08-16,2022-09-15,2079/80
2079,Ashwin 2079,2022-09-16,2022-10-15,2079/80
2079,Kartik 2079,2022-10-16,2022-11-15,2079/80
2079,Mangsir 2079,2022-11-16,2022-12-15,2079/80
2079,Poush 2079,2022-12-16,2023-01-15,2079/80
2079,Magh 2079,2023-01-16,2023-02-15,2079/80
2079,Falgun 2079,2023-02-16,2023-03-15,2079/80
2079,Chaitra 2079,2023-03-16,2023-04-15,2079/80
2079,Baishak 2079,2022-04-16,2022-05-15,2078/79
2079,Jestha 2079,2022-05-16,2022-06-15,2078/79
2079,Asar 2079,2022-06-16,2022-07-15,2078/79
2080,Shrawan 2080,2023-07-16,2023-08-15,2080/81
2080,Bhadra 2080,2023-08-16,2023-09-15,2080/81
2080,Ashwin 2080,2023-09-16,2023-10-15,2080/81
2080,Kartik 2080,2023-10-16,2023-11-15,2080/81
2080,Mangsir 2080,2023-11-16,2023-12-15,2080/81
2080,Poush 2080,2023-12-16,2024-01-15,2080/81
2080,Magh 2080,2024-01-16,2024-02-15,2080/81
2080,Falgun 2080,2024-02-16,2024-03-15,2080/81
2080,Chaitra 2080,2024-03-16,2024-04-15,2080/81
2080,Baishak 2080,2023-04-16,2023-05-15,2079/80
2080,Jestha 2080,2023-05-16,2023-06-15,2079/80
2080,Asar 2080,2023-06-16,2023-07-15,2079/80
2081,Shrawan 2081,2024-07-16,2024-08-15,2081/82
2081,Bhadra 2081,2024-08-16,2024-09-15,2081/82
2081,Ashwin 2081,2024-09-16,2024-10-15,2081/82
2081,Kartik 2081,2024-10-16,2024-11-15,2081/82
2081,Mangsir 2081,2024-11-16,2024-12-15,2081/82
2081,Poush 2081,2024-12-16,2025-01-15,2081/82
2081,Magh 2081,2025-01-16,2025-02-15,2081/82
2081,Falgun 2081,2025-02-16,2025-03-15,2081/82
2081,Chaitra 2081,2025-03-16,2025-04-15,2081/82
2081,Baishak 2081,2024-04-16,2024-05-15,2080/81
2081,Jestha 2081,2024-05-16,2024-06-15,2080/81
2081,Asar 2081,2024-06-16,2024-07-15,2080/81
2082,Shrawan 2082,2025-07-16,2025-08-15,2082/83
2082,Bhadra 2082,2025-08-16,2025-09-15,2082/83
2082,Ashwin 2082,2025-09-16,2025-10-15,2082/83
2082,Kartik 2082,2025-10-16,2025-11-15,2082/83
2082,Mangsir 2082,2025-11-16,2025-12-15,2082/83
2082,Poush 2082,2025-12-16,2026-01-15,2082/83
2082,Magh 2082,2026-01-16,2026-02-15,2082/83
2082,Falgun 2082,2026-02-16,2026-03-15,2082/83
2082,Chaitra 2082,2026-03-16,2026-04-15,2082/83
2082,Baishak 2082,2025-04-16,2025-05-15,2081/82
2082,Jestha 2082,2025-05-16,2025-06-15,2081/82
2082,Asar 2082,2025-06-16,2025-07-15,2081/82
